Transaction,Type,Credit Line,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXTdUuPoRw4GwmOiqRHWE9AZmS,Interest,,SOL,0.02568684,SOL,0.02568684,$2.63,-,-,"approved / SOL Interest Earned",2026-08-28 06:00:00
NXTU8U94RuZttPM0sxNncwAiu6ywdmq9,Interest,,ADA,0.82923742,ADA,0.82923742,$0.46,-,-,"approved / ADA Interest Earned",2026-08-28 06:00:00
NXTaXuBEbxPTBhn5X4AT5eLfir,Interest,,BTC,0.00021306,BTC,0.00021306,$18.89,-,-,"approved / BTC Interest Earned",2026-08-27 06:00:00
NXThqnPL2zzJoSWKXQta3VI8mPeqn,Interest,,ETH,0.00220559,ETH,0.00220559,$5.53,-,-,"approved / ETH Interest Earned",2026-08-27 06:00:00
NXTagbxxbtX5TnzsTXBjQlNhc,Interest,,NEXO,1.31337199,NEXO,1.31337199,$1.14,-,-,"approved / NEXO Interest Earned",2026-08-27 06:00:00
NXTj7ldcQYqEf5mrXB7LtGuE2fI,Interest,,XRP,0.13267597,XRP,0.13267597,$0.16,-,-,"approved / XRP Interest Earned",2026-08-27 06:00:00
NXTCcDlLSmlXmhrjoRtWsQlaQpGgHj,Interest,,LINK,0.28508439,LINK,0.28508439,$2.15,-,-,"approved / LINK Interest Earned",2026-08-27 06:00:00
NXTDaXzPO5TeSAF6c2YeRqQXq,Interest,,DOGE,3.54754591,DOGE,3.54754591,$0.97,-,-,"approved / DOGE Interest Earned",2026-08-27 06:00:00
NXTIhUIIOFSkzTSsh8Y1yDgb3GGqJLxL,Interest,,SOL,0.02697819,SOL,0.02697819,$6.70,-,-,"approved / SOL Interest Earned",2026-08-27 06:00:00
NXTxVYtuleJUx5Q5N4icxcN4kt24oNDPi,Interest,,ADA,0.71973138,ADA,0.71973138,$0.42,-,-,"approved / ADA Interest Earned",2026-08-27 06:00:00
NXTIzLUxzLmJNlAvv5mOUtK,Interest,,BTC,0.00049362,BTC,0.00049362,$38.41,-,-,"approved / BTC Interest Earned",2026-08-26 06:00:00
NXTP9o2yR2W4MI03i9WpCWLmAnmPV3,Interest,,ETH,0.00378538,ETH,0.00378538,$12.43,-,-,"approved / ETH Interest Earned",2026-08-26 06:00:00
NXTCjJxPpihqv8vhE4b92YIgFNZ,Interest,,NEXO,1.62627124,NEXO,1.62627124,$1.72,-,-,"approved / NEXO Interest Earned",2026-08-26 06:00:00
NXTfUef5pC7iq52mGa2EbXw,Interest,,XRP,0.39208377,XRP,0.39208377,$0.28,-,-,"approved / XRP Interest Earned",2026-08-26 06:00:00
NXTEpmU4Zg1KyKrVWl1m46rHhE,Interest,,LINK,0.44476514,LINK,0.44476514,$9.50,-,-,"approved / LINK Interest Earned",2026-08-26 06:00:00
NXTBpZQdVpXwWTbDVYoporyPGry5ty,Interest,,DOGE,1.24573326,DOGE,1.24573326,$0.31,-,-,"approved / DOGE Interest Earned",2026-08-26 06:00:00
NXTmFKQs0E15Dpk7dZHsGIJ2JHPEmXOAY,Interest,,SOL,0.04497550,SOL,0.04497550,$2.48,-,-,"approved / SOL Interest Earned",2026-08-26 06:00:00
NXTFTDP3tQUul5TehYjQNkpDO,Interest,,ADA,0.46185861,ADA,0.46185861,$0.36,-,-,"approved / ADA Interest Earned",2026-08-26 06:00:00
NXTeer4ATfH58I41FeJugXy,Interest,,BTC,0.00009621,BTC,0.00009621,$6.46,-,-,"approved / BTC Interest Earned",2026-08-25 06:00:00
NXTmZWvTMCdybCjoGmKDzMf,Interest,,ETH,0.00323726,ETH,0.00323726,$6.04,-,-,"approved / ETH Interest Earned",2026-08-25 06:00:00
NXTGHovI44V1Fo8A3wDApISf,Interest,,NEXO,0.31008659,NEXO,0.31008659,$0.44,-,-,"approved / NEXO Interest Earned",2026-08-25 06:00:00
NXTwHezEsiSwfKYCzuSjzBgqq,Interest,,XRP,0.15739706,XRP,0.15739706,$0.16,-,-,"approved / XRP Interest Earned",2026-08-25 06:00:00
NXT1jSUIP3YEpQlIJQjOFeilzKSH,Interest,,LINK,0.15545496,LINK,0.15545496,$2.44,-,-,"approved / LINK Interest Earned",2026-08-25 06:00:00
NXTCETYm8tavDp5R2bY6lKGFzaqbrKF,Interest,,DOGE,4.50844268,DOGE,4.50844268,$0.54,-,-,"approved / DOGE Interest Earned",2026-08-25 06:00:00
NXTo1GysPpXdsKyVci1OxazcImmZl,Interest,,SOL,0.02668912,SOL,0.02668912,$6.60,-,-,"approved / SOL Interest Earned",2026-08-25 06:00:00
NXTWt6xSx4daIj6IGnina0X,Interest,,ADA,1.51866796,ADA,1.51866796,$1.01,-,-,"approved / ADA Interest Earned",2026-08-25 06:00:00
NXTnJSNUt1P6CFI2pp3khFhrOQ8gMR,Interest,,BTC,0.00019212,BTC,0.00019212,$18.09,-,-,"approved / BTC Interest Earned",2026-08-24 06:00:00
NXTv7zGkYDqv5KIBA1G0uCSXimdbG6,Interest,,ETH,0.00352499,ETH,0.00352499,$12.51,-,-,"approved / ETH Interest Earned",2026-08-24 06:00:00
NXTEwAAdYmBP8Xpfk2d2aI9CRmrG53C,Interest,,NEXO,0.52497390,NEXO,0.52497390,$0.75,-,-,"approved / NEXO Interest Earned",2026-08-24 06:00:00
NXTZvy6tzTRPQHJvt2UzXxzba8,Interest,,XRP,0.26317165,XRP,0.26317165,$0.53,-,-,"approved / XRP Interest Earned",2026-08-24 06:00:00
NXTD2UTbT2NniL3IqogNGDXCk7,Interest,,LINK,0.44546186,LINK,0.44546186,$4.45,-,-,"approved / LINK Interest Earned",2026-08-24 06:00:00
NXTfM2AyuGpKhfuqX1oFdkuV2fcN,Interest,,DOGE,1.70466188,DOGE,1.70466188,$0.63,-,-,"approved / DOGE Interest Earned",2026-08-24 06:00:00
NXTEfvpT8NzpAWu5QDi91Siy35aW0aJgU,Interest,,SOL,0.02926547,SOL,0.02926547,$1.65,-,-,"approved / SOL Interest Earned",2026-08-24 06:00:00
NXTznlYmmTPoBERDffFj1aUavYLW0,Interest,,ADA,1.00314352,ADA,1.00314352,$0.85,-,-,"approved / ADA Interest Earned",2026-08-24 06:00:00
NXTGvPOj5P97QLt1ql4HrEhMVkVbgEUYX,Interest,,BTC,0.00015797,BTC,0.00015797,$12.62,-,-,"approved / BTC Interest Earned",2026-08-23 06:00:00
NXT5eU78LISVCoUnHLtGQ9pt5sERT5C,Interest,,ETH,0.00436008,ETH,0.00436008,$9.26,-,-,"approved / ETH Interest Earned",2026-08-23 06:00:00
NXTJZpxyxuHDU19yxyYFySq,Interest,,NEXO,0.27351236,NEXO,0.27351236,$0.28,-,-,"approved / NEXO Interest Earned",2026-08-23 06:00:00
NXT5LX0DTsAGlCQwUEtwuo8PgJIyzS6B,Interest,,XRP,0.20866715,XRP,0.20866715,$0.32,-,-,"approved / XRP Interest Earned",2026-08-23 06:00:00
NXT7ClbVUqmFv3blJF9Luuc,Interest,,LINK,0.32321831,LINK,0.32321831,$6.06,-,-,"approved / LINK Interest Earned",2026-08-23 06:00:00
NXTZFfXmEjGCMOFpesPLnLXiyh14L,Interest,,DOGE,1.29495980,DOGE,1.29495980,$0.11,-,-,"approved / DOGE Interest Earned",2026-08-23 06:00:00
NXTrRBXWT0UHdUDw6Df5rkyZT,Interest,,SOL,0.01763406,SOL,0.01763406,$3.38,-,-,"approved / SOL Interest Earned",2026-08-23 06:00:00
NXTro49CXGwpVhxWECBbi5cgwFB,Interest,,ADA,0.93014219,ADA,0.93014219,$0.58,-,-,"approved / ADA Interest Earned",2026-08-23 06:00:00
NXTxm6P2xI1f0pLz4NcW70yHPbe4mlWa,Interest,,BTC,0.00020650,BTC,0.00020650,$12.57,-,-,"approved / BTC Interest Earned",2026-08-22 06:00:00
NXTdISKO8L5dhvVt7yzPKgEm,Interest,,ETH,0.00210884,ETH,0.00210884,$5.50,-,-,"approved / ETH Interest Earned",2026-08-22 06:00:00
NXT84zNaquxnJZdvVKzPqVoJ2iUq,Interest,,NEXO,1.85348103,NEXO,1.85348103,$2.72,-,-,"approved / NEXO Interest Earned",2026-08-22 06:00:00
NXTD2zeRhsj8XTORhbPkDzAo4hVbQp1,Interest,,XRP,0.13367601,XRP,0.13367601,$0.33,-,-,"approved / XRP Interest Earned",2026-08-22 06:00:00
NXTFRELmDSSf2gB0Gh2HZXAis,Interest,,LINK,0.06513144,LINK,0.06513144,$0.88,-,-,"approved / LINK Interest Earned",2026-08-22 06:00:00
NXTqvghefgsFMR4Jugxpb0VX7E4hI8Kl,Interest,,DOGE,1.39189215,DOGE,1.39189215,$0.45,-,-,"approved / DOGE Interest Earned",2026-08-22 06:00:00
NXT4SFpBVStfqlApp4JkNy6TMcJC,Interest,,SOL,0.04274508,SOL,0.04274508,$4.93,-,-,"approved / SOL Interest Earned",2026-08-22 06:00:00
NXThq2Vou4pGcNLPyfiduyxgZ7,Interest,,ADA,1.50230305,ADA,1.50230305,$1.19,-,-,"approved / ADA Interest Earned",2026-08-22 06:00:00
NXTc68C3UefBkWWngSTDabQD5wUPSK0qD,Interest,,BTC,0.00030458,BTC,0.00030458,$18.95,-,-,"approved / BTC Interest Earned",2026-08-21 06:00:00
NXTSvUgCyrwIdfU10drCd4rjKPSx2weZJ,Interest,,ETH,0.00418535,ETH,0.00418535,$16.82,-,-,"approved / ETH Interest Earned",2026-08-21 06:00:00
NXTT6BDx4A5veQR2VboDYDAwBoyrL5lA,Interest,,NEXO,0.96647411,NEXO,0.96647411,$0.99,-,-,"approved / NEXO Interest Earned",2026-08-21 06:00:00
NXTHfse6UvLR9lXeXZ2U2Y0xlgID3pg7,Interest,,XRP,0.41459433,XRP,0.41459433,$0.69,-,-,"approved / XRP Interest Earned",2026-08-21 06:00:00
NXTbAQNrwFtmc6TkYFQgdKrxlI9H0,Interest,,LINK,0.34271313,LINK,0.34271313,$6.44,-,-,"approved / LINK Interest Earned",2026-08-21 06:00:00
NXT576gNBEgwrKXUTC48AySCeE,Interest,,DOGE,2.64385927,DOGE,2.64385927,$0.96,-,-,"approved / DOGE Interest Earned",2026-08-21 06:00:00
NXTQq9dKGXegkXQWTI5hPvT4fMNpcaSd,Interest,,SOL,0.04499968,SOL,0.04499968,$10.03,-,-,"approved / SOL Interest Earned",2026-08-21 06:00:00
NXTwtG9XkD6QeiJrpkepNOAdTX0t,Interest,,ADA,1.19936217,ADA,1.19936217,$0.97,-,-,"approved / ADA Interest Earned",2026-08-21 06:00:00
NXT2gDl4578KOdZ8vkL1B2reg52,Interest,,BTC,0.00007028,BTC,0.00007028,$4.82,-,-,"approved / BTC Interest Earned",2026-08-20 06:00:00
NXTN3TSexFZpvigB4FUqZMM2Pcxve0LAE,Interest,,ETH,0.00348239,ETH,0.00348239,$12.75,-,-,"approved / ETH Interest Earned",2026-08-20 06:00:00
NXTUbg5bSP3p6RFwbPxBAzITUY9,Interest,,NEXO,1.03960262,NEXO,1.03960262,$1.21,-,-,"approved / NEXO Interest Earned",2026-08-20 06:00:00
NXTlMzhzu4dUii3daIqDc0fXofdZqTcm,Interest,,XRP,0.47306819,XRP,0.47306819,$0.46,-,-,"approved / XRP Interest Earned",2026-08-20 06:00:00
NXTF8LbswoMhfYgQrOc7UD29jATE,Interest,,LINK,0.25196409,LINK,0.25196409,$2.57,-,-,"approved / LINK Interest Earned",2026-08-20 06:00:00
NXTV3lHotQH94484qb2HOL6FPaz,Interest,,DOGE,2.48274344,DOGE,2.48274344,$0.41,-,-,"approved / DOGE Interest Earned",2026-08-20 06:00:00
NXTVJvD1enBffhbNTnkC2QXN5sW,Interest,,SOL,0.03136123,SOL,0.03136123,$2.31,-,-,"approved / SOL Interest Earned",2026-08-20 06:00:00
NXTGfsF50tj0PaqGC1vQ1URFQA7,Interest,,ADA,0.53530096,ADA,0.53530096,$0.53,-,-,"approved / ADA Interest Earned",2026-08-20 06:00:00
NXT34f9ZVvc50tZxPfLzeDyVW1,Interest,,BTC,0.00006584,BTC,0.00006584,$4.22,-,-,"approved / BTC Interest Earned",2026-08-19 06:00:00
NXTbog9GcfT9RNt3A0ZF85Fytmi,Interest,,ETH,0.00446330,ETH,0.00446330,$12.90,-,-,"approved / ETH Interest Earned",2026-08-19 06:00:00
NXTElXfAHMQgrBGrz6HoH5O1Qe5suQ,Interest,,NEXO,1.60434322,NEXO,1.60434322,$1.31,-,-,"approved / NEXO Interest Earned",2026-08-19 06:00:00
NXTwjqgWJqhYT6xV6tkZJa19l,Interest,,XRP,0.49186293,XRP,0.49186293,$1.11,-,-,"approved / XRP Interest Earned",2026-08-19 06:00:00
NXTkr0p2mPVOmCDrhBSJ12dV4LPN,Interest,,LINK,0.48969446,LINK,0.48969446,$4.41,-,-,"approved / LINK Interest Earned",2026-08-19 06:00:00
NXTbJDL7GrTwsRSaGzoNXFeGo,Interest,,DOGE,2.14131994,DOGE,2.14131994,$0.82,-,-,"approved / DOGE Interest Earned",2026-08-19 06:00:00
NXTulBA9GWJYycLSNJEiIpZ3mIPRLidI,Interest,,SOL,0.04491542,SOL,0.04491542,$2.17,-,-,"approved / SOL Interest Earned",2026-08-19 06:00:00
NXTyaEiYNkF7HWGfvgyYPIzLV31mpb,Interest,,ADA,1.91551056,ADA,1.91551056,$1.18,-,-,"approved / ADA Interest Earned",2026-08-19 06:00:00
NXTf5NcBi6OPM0AKg7cg1h0mtY,Interest,,BTC,0.00021791,BTC,0.00021791,$14.04,-,-,"approved / BTC Interest Earned",2026-08-18 06:00:00
NXTx3bQpfGY8RcPbIJIkiUi4,Interest,,ETH,0.00063868,ETH,0.00063868,$2.08,-,-,"approved / ETH Interest Earned",2026-08-18 06:00:00
NXTzvsqV2eC1IgjkWOkgBpV,Interest,,NEXO,1.30343100,NEXO,1.30343100,$1.65,-,-,"approved / NEXO Interest Earned",2026-08-18 06:00:00
NXTrt8sON1S0nmfp7CvLs7OwXHgtMUgt,Interest,,XRP,0.06966496,XRP,0.06966496,$0.06,-,-,"approved / XRP Interest Earned",2026-08-18 06:00:00
NXTxwfoyvPo0ziaNZJgZ2iwuVX,Interest,,LINK,0.18991353,LINK,0.18991353,$4.07,-,-,"approved / LINK Interest Earned",2026-08-18 06:00:00
NXTgQsIo81CF4P9nXOzRgTM,Interest,,DOGE,0.64014941,DOGE,0.64014941,$0.05,-,-,"approved / DOGE Interest Earned",2026-08-18 06:00:00
NXTmVWeYBrlNp7iedKSXRjq1gRLWW,Interest,,SOL,0.00427737,SOL,0.00427737,$0.94,-,-,"approved / SOL Interest Earned",2026-08-18 06:00:00
NXTVWTzktQISmPbdlFK2blquH,Interest,,ADA,0.64001229,ADA,0.64001229,$0.26,-,-,"approved / ADA Interest Earned",2026-08-18 06:00:00
NXTSV1Jcc0sCws0dyzrWj5z9,Interest,,BTC,0.00007130,BTC,0.00007130,$4.96,-,-,"approved / BTC Interest Earned",2026-08-17 06:00:00
NXTkk1xl0HjIMAV73XuD9MZKZAFL7rG,Interest,,ETH,0.00483372,ETH,0.00483372,$10.26,-,-,"approved / ETH Interest Earned",2026-08-17 06:00:00
NXTPAJmjpwS2hjjEa7JOnvoOTno,Interest,,NEXO,1.55713023,NEXO,1.55713023,$1.71,-,-,"approved / NEXO Interest Earned",2026-08-17 06:00:00
NXTeZkD65AU0O4naWShG8Gb,Interest,,XRP,0.13404305,XRP,0.13404305,$0.27,-,-,"approved / XRP Interest Earned",2026-08-17 06:00:00
NXTO633ueGZTpnwMeAQT0TNPle,Interest,,LINK,0.19138746,LINK,0.19138746,$4.31,-,-,"approved / LINK Interest Earned",2026-08-17 06:00:00
NXTbvDkuwQl5LXILyyUIaAobD7,Interest,,DOGE,2.82549837,DOGE,2.82549837,$0.74,-,-,"approved / DOGE Interest Earned",2026-08-17 06:00:00
NXTVQpZ0oj4gH9zZ8MqXkZCJ8,Interest,,SOL,0.04827965,SOL,0.04827965,$2.09,-,-,"approved / SOL Interest Earned",2026-08-17 06:00:00
NXTaEx9TVPYQOGDybBdKUwRC,Interest,,ADA,0.72176589,ADA,0.72176589,$0.57,-,-,"approved / ADA Interest Earned",2026-08-17 06:00:00
NXT1TXPJJb3jqIfHoVDMfSYb,Fixed Term Interest,,NEXO,50.87323073,NEXO,50.87323073,$55.57,-,-,"approved / Term Deposit Interest",2026-08-17 05:00:00
NXTZREP5GmB29vk0ISAQqpOpIJzo,Interest,,BTC,0.00014800,BTC,0.00014800,$12.25,-,-,"approved / BTC Interest Earned",2026-08-16 06:00:00
NXTg3Gtf737a3iPWbbURPi6w,Interest,,ETH,0.00268027,ETH,0.00268027,$6.66,-,-,"approved / ETH Interest Earned",2026-08-16 06:00:00
NXT1EwiqDqi9cPAyABy4DVb,Interest,,NEXO,1.75850008,NEXO,1.75850008,$1.83,-,-,"approved / NEXO Interest Earned",2026-08-16 06:00:00
NXTQj2l1WG7M8rxr2JODphd,Interest,,XRP,0.36594166,XRP,0.36594166,$0.37,-,-,"approved / XRP Interest Earned",2026-08-16 06:00:00
NXTbU73auQq1MN6T2k5h3OCWBY,Interest,,LINK,0.23393347,LINK,0.23393347,$5.58,-,-,"approved / LINK Interest Earned",2026-08-16 06:00:00
NXTq4gXcYiSpTJpWFy0eOtdYqm,Interest,,DOGE,1.43827705,DOGE,1.43827705,$0.21,-,-,"approved / DOGE Interest Earned",2026-08-16 06:00:00
NXTPPvLKl5nTCwlS61vw3vT5hiNWr,Interest,,SOL,0.02985714,SOL,0.02985714,$1.61,-,-,"approved / SOL Interest Earned",2026-08-16 06:00:00
NXTFGUVrjuGsK1eVFIlFkKqwqpsA,Interest,,ADA,1.64973537,ADA,1.64973537,$1.07,-,-,"approved / ADA Interest Earned",2026-08-16 06:00:00
NXTJhbCu6kCQJkW8a5mISNDQWD1YgI,Credit Card Withdrawal Credit,Card,xUSD,-75.02000000,xUSD,75.02000000,$75.02,-,-,"authorized / Nexo Card Loan Withdrawal",2026-08-16 00:00:00
NXTPEkNzeaO5KpdW4MYUg4r3CNGsZ,Exchange Credit,Card,xUSD,-75.02000000,EURX,70.44000000,$75.02,-,-,"authorized / Nexo Card Loan Withdrawal",2026-08-16 00:00:00
NXTNE8ilpt3mDsuN60lsN7jVmHIHgKQLr,Nexo Card Purchase,Card,xUSD,-75.02000000,EURX,70.44000000,$75.02,-,-,"approved / ZALANDO SE | BERLIN",2026-08-16 00:00:00
NXTShAUgecbzURAvbUtXgTA,Cashback,,NEXO,0.31283495,NEXO,0.31283495,$0.38,-,-,"approved / ZALANDO SE | BERLIN",2026-08-16 00:00:00
NXTGA1X0UFksEl54BSiOcF8VZG5,Interest,,BTC,0.00032406,BTC,0.00032406,$22.59,-,-,"approved / BTC Interest Earned",2026-08-15 06:00:00
NXT4aNiUIfJreyRJzMKrHPDPLSJtxd0O,Interest,,ETH,0.00180912,ETH,0.00180912,$5.95,-,-,"approved / ETH Interest Earned",2026-08-15 06:00:00
NXTw2u2rrKQOesKGZbabhcLkTc,Interest,,NEXO,1.75138575,NEXO,1.75138575,$1.43,-,-,"approved / NEXO Interest Earned",2026-08-15 06:00:00
NXT0Dah3X0FlEYYv044EMsXvuI,Interest,,XRP,0.35541255,XRP,0.35541255,$0.31,-,-,"approved / XRP Interest Earned",2026-08-15 06:00:00
NXTLHsYmEtP0xjQ8yUXwnHBKTurUB,Interest,,LINK,0.08589226,LINK,0.08589226,$1.73,-,-,"approved / LINK Interest Earned",2026-08-15 06:00:00
NXTXIxRKR6bhWpyrjZ6a1Fq,Interest,,DOGE,1.35855743,DOGE,1.35855743,$0.32,-,-,"approved / DOGE Interest Earned",2026-08-15 06:00:00
NXTawyEUiGHeG6yWVFSkgkKA,Interest,,SOL,0.02877146,SOL,0.02877146,$5.68,-,-,"approved / SOL Interest Earned",2026-08-15 06:00:00
NXTV27pQFBZqfLY18PLYRSUCY,Interest,,ADA,1.32419538,ADA,1.32419538,$0.95,-,-,"approved / ADA Interest Earned",2026-08-15 06:00:00
NXT0XMxIf2Saywx3bWu9nyzA,Interest,,BTC,0.00036599,BTC,0.00036599,$23.56,-,-,"approved / BTC Interest Earned",2026-08-14 06:00:00
NXTKzfYw2GNK2OQbxIjLLj8tBlG,Interest,,ETH,0.00473508,ETH,0.00473508,$14.52,-,-,"approved / ETH Interest Earned",2026-08-14 06:00:00
NXTKH0K5g0DpdeEdkznq7ks5AqfW3gIAN,Interest,,NEXO,0.61410686,NEXO,0.61410686,$0.74,-,-,"approved / NEXO Interest Earned",2026-08-14 06:00:00
NXTpFUaCpIuyrIfYjrFWnWI3,Interest,,XRP,0.09265642,XRP,0.09265642,$0.12,-,-,"approved / XRP Interest Earned",2026-08-14 06:00:00
NXTO0pJHYGLtG0iUFMPC6Cx,Interest,,LINK,0.39763495,LINK,0.39763495,$7.89,-,-,"approved / LINK Interest Earned",2026-08-14 06:00:00
NXTOGrKcmTQ7xgXPuOgPDAG,Interest,,DOGE,0.61942501,DOGE,0.61942501,$0.14,-,-,"approved / DOGE Interest Earned",2026-08-14 06:00:00
NXTh3J3I1dujc1Wklwj0wGduCdP5qwdKh,Interest,,SOL,0.03383890,SOL,0.03383890,$7.68,-,-,"approved / SOL Interest Earned",2026-08-14 06:00:00
NXTsdwa3MGfAxtVJupb3nWdZhwq6,Interest,,ADA,1.08058079,ADA,1.08058079,$0.84,-,-,"approved / ADA Interest Earned",2026-08-14 06:00:00
NXTJruaMwJyHGChovbQQ9qmy5G,Interest,,BTC,0.00023131,BTC,0.00023131,$14.13,-,-,"approved / BTC Interest Earned",2026-08-13 06:00:00
NXTk5LA3lgkQ75BHnCIa4FAcPj,Interest,,ETH,0.00337627,ETH,0.00337627,$6.66,-,-,"approved / ETH Interest Earned",2026-08-13 06:00:00
NXTFQTyeKtohbfAzOH54BG0Xi,Interest,,NEXO,1.34276780,NEXO,1.34276780,$1.38,-,-,"approved / NEXO Interest Earned",2026-08-13 06:00:00
NXTXVKXSL9ngiO0hWwpUab4AzvY5Yerv6,Interest,,XRP,0.22387675,XRP,0.22387675,$0.26,-,-,"approved / XRP Interest Earned",2026-08-13 06:00:00
NXTeYQsZylUnXsmAoe3Av2XZUgWb7rL,Interest,,LINK,0.18144593,LINK,0.18144593,$3.23,-,-,"approved / LINK Interest Earned",2026-08-13 06:00:00
NXTn8OKzrarft9YnueNqAz92bHfp,Interest,,DOGE,0.53543243,DOGE,0.53543243,$0.17,-,-,"approved / DOGE Interest Earned",2026-08-13 06:00:00
NXTTEWTkU2ujt74oqI8Nw1JF8l,Interest,,SOL,0.04647792,SOL,0.04647792,$8.23,-,-,"approved / SOL Interest Earned",2026-08-13 06:00:00
NXTHCxKLaIVtXyZ2dj6VvVBYDu8DOwX,Interest,,ADA,1.17896412,ADA,1.17896412,$0.44,-,-,"approved / ADA Interest Earned",2026-08-13 06:00:00
NXTJq508i1ZeDWfC9XvN7xW,Interest,,BTC,0.00004850,BTC,0.00004850,$3.33,-,-,"approved / BTC Interest Earned",2026-08-12 06:00:00
NXT8xMrxiTMBkNrE1fLBgd2U,Interest,,ETH,0.00157861,ETH,0.00157861,$2.90,-,-,"approved / ETH Interest Earned",2026-08-12 06:00:00
NXT20FZy9czZAmpT6VL5M5CYf1B,Interest,,NEXO,1.27191798,NEXO,1.27191798,$1.79,-,-,"approved / NEXO Interest Earned",2026-08-12 06:00:00
NXTaU5kQbim7IfcL8Tw3nty41TBlhzPxZ,Interest,,XRP,0.07046891,XRP,0.07046891,$0.10,-,-,"approved / XRP Interest Earned",2026-08-12 06:00:00
NXTJDrP9QBUTBX8uG8Nt63W517MyGO6k,Interest,,LINK,0.37657877,LINK,0.37657877,$5.30,-,-,"approved / LINK Interest Earned",2026-08-12 06:00:00
NXTHKB6FMBuK4lPDzOp0RrctEFGJ,Interest,,DOGE,2.59501046,DOGE,2.59501046,$0.35,-,-,"approved / DOGE Interest Earned",2026-08-12 06:00:00
NXTYp8yDmEe5ypGW5qcUlFMElo6,Interest,,SOL,0.03368448,SOL,0.03368448,$8.06,-,-,"approved / SOL Interest Earned",2026-08-12 06:00:00
NXTEs897jzkMVm0PEU43wHvO2kE,Interest,,ADA,1.44532648,ADA,1.44532648,$0.75,-,-,"approved / ADA Interest Earned",2026-08-12 06:00:00
NXTMDhcuuqmENDohtpfvKJihZR,Exchange Cashback,,EURX,3.47101809,EURX,3.47101809,$4.11,-,-,"approved / 1 % on top of your Exchange transaction",2026-08-12 00:00:00
NXTggA8Fqn1EuR9IZYGdjyoNmMz,Interest,,BTC,0.00005464,BTC,0.00005464,$4.56,-,-,"approved / BTC Interest Earned",2026-08-11 06:00:00
NXTacMysmLtGbH2g7DsTCVj,Interest,,ETH,0.00087246,ETH,0.00087246,$3.12,-,-,"approved / ETH Interest Earned",2026-08-11 06:00:00
