Transaction,Type,Currency,Amount,USD Equivalent,Details,Outstanding Loan,Date / Time
XZY160,Withdrawal,EUR,500,$563, approved /  xyz,$0,2021-03-02 07:00:08
XZY161,Interest,NEXONEXO,0.17,$4, approved /  xyz,$0,2021-03-03 07:00:08
XZY162,Interest,NEXONEXO,0.18,$6, approved /  xyz,$0,2021-03-04 07:00:08
XZY163,Interest,NEXONEXO,0.19,$5, approved /  xyz,$0,2021-03-05 07:00:08
XZY164,Interest,NEXONEXO,0.20,$7, approved /  xyz,$0,2021-03-06 07:00:08
XZY165,Interest,NEXONEXO,0.21,$3, approved /  xyz,$0,2021-03-07 07:00:08
XZY166,Interest,NEXONEXO,0.22,$5, approved /  xyz,$0,2021-03-08 07:00:08
XZY167,Interest,NEXONEXO,0.23,$7, approved /  xyz,$0,2021-03-09 07:00:08
XZY168,Interest,NEXONEXO,0.24,$4, approved /  xyz,$0,2021-03-10 07:00:08
XZY169,Interest,NEXONEXO,0.25,$6, approved /  xyz,$0,2021-03-11 07:00:08
XZY170,Deposit,DOGE,100,$5, approved /  52acaac31be7b117d0125d9ed2e0d1733a0f25da28607f397bc372c7a875e311,$0,2021-03-12 07:00:08
XZY171,Interest,DOGE,0.25,$4, approved /  xyz,$0,2021-03-13 07:00:08
XZY172,Interest,DOGE,0.26,$6, approved /  xyz,$0,2021-03-14 07:00:08
XZY173,Interest,DOGE,0.27,$5, approved /  xyz,$0,2021-03-15 07:00:08
XZY174,Interest,DOGE,0.28,$7, approved /  xyz,$0,2021-03-16 07:00:08
XZY175,Interest,DOGE,0.29,$3, approved /  xyz,$0,2021-03-17 07:00:08
XZY176,Interest,NEXONEXO,0.30,$5, approved /  xyz,$0,2021-03-18 07:00:08
XZY177,Interest,NEXONEXO,0.31,$7, approved /  xyz,$0,2021-03-19 07:00:08
XZY178,Interest,NEXONEXO,0.32,$4, approved /  xyz,$0,2021-03-20 07:00:08
XZY179,Interest,NEXONEXO,0.33,$6, approved /  xyz,$0,2021-03-21 07:00:08
XZY180,Deposit,BNB,100,$3800, approved /  xyz,$0,2021-03-22 07:00:08
XZY181,Interest,BNB,0.33,$4, approved /  xyz,$0,2021-03-23 07:00:08
XZY182,Interest,BNB,0.34,$6, approved /  xyz,$0,2021-03-24 07:00:08
XZY183,Interest,BNB,0.35,$5, approved /  xyz,$0,2021-03-25 07:00:08
XZY184,Interest,BNB,0.36,$7, approved /  xyz,$0,2021-03-26 07:00:08
XZY185,Interest,BNB,0.37,$3, approved /  xyz,$0,2021-03-27 07:00:08
XZY186,Interest,NEXONEXO,0.38,$5, approved /  xyz,$0,2021-03-28 07:00:08
XZY187,Interest,NEXONEXO,0.39,$7, approved /  xyz,$0,2021-03-29 07:00:08
XZY188,Interest,NEXONEXO,0.40,$4, approved /  xyz,$0,2021-03-30 07:00:08
XZY189,Interest,NEXONEXO,0.41,$6, approved /  xyz,$0,2021-03-31 07:00:08
XZY190,Deposit,XRP,100,$90, approved /  3CEE5D4FDFF6ED814937A75696723FB8C18E73ADA2301B636A593BC19B1C2C2A,$0,2021-04-01 07:00:08
XZY191,Interest,XRP,0.41,$4, approved /  xyz,$0,2021-04-02 07:00:08
XZY192,Interest,XRP,0.42,$6, approved /  xyz,$0,2021-04-03 07:00:08
XZY193,Interest,XRP,0.43,$5, approved /  xyz,$0,2021-04-04 07:00:08
XZY194,Interest,XRP,0.44,$7, approved /  xyz,$0,2021-04-05 07:00:08
XZY195,Interest,XRP,0.45,$3, approved /  xyz,$0,2021-04-06 07:00:08
XZY196,Interest,NEXONEXO,0.46,$5, approved /  xyz,$0,2021-04-07 07:00:08
XZY197,Interest,NEXONEXO,0.47,$7, approved /  xyz,$0,2021-04-08 07:00:08
XZY198,Interest,NEXONEXO,0.48,$4, approved /  xyz,$0,2021-04-09 07:00:08
XZY199,Interest,NEXONEXO,0.49,$6, approved /  xyz,$0,2021-04-10 07:00:08
